# Filename	C:\Users\labuser\Documents\Data\2018-09-25\2_fscan.txt
# Date	2018-9-25-19:43
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using n=34 + 1 f_MW. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -15 dB.
# Frequency (Hz)	Voltage (V)
19668700000.000	-0.004
19669700000.000	-0.004
19670700000.000	-0.006
19671700000.000	-0.004
19672700000.000	-0.005
19673700000.000	-0.004
19674700000.000	-0.003
19675700000.000	-0.007
19676700000.000	0.002
19677700000.000	-0.002
19678700000.000	-0.004
19679700000.000	-0.003
19680700000.000	-0.002
19681700000.000	-0.001
19682700000.000	-0.002
19683700000.000	-0.000
19684700000.000	-0.002
19685700000.000	-0.000
19686700000.000	0.006
19687700000.000	0.007
19688700000.000	0.004
19689700000.000	0.002
19690700000.000	0.002
19691700000.000	0.001
19692700000.000	0.000
19693700000.000	-0.002
19694700000.000	-0.002
19695700000.000	-0.001
19696700000.000	-0.002
19697700000.000	0.002
19698700000.000	0.003
19699700000.000	0.002
19590800000.000	-0.007
19591800000.000	-0.006
19592800000.000	-0.010
19593800000.000	-0.005
19594800000.000	-0.008
19595800000.000	-0.010
19596800000.000	-0.005
19597800000.000	-0.005
19598800000.000	-0.007
19599800000.000	-0.007
19600800000.000	-0.008
19601800000.000	-0.011
19602800000.000	-0.007
19603800000.000	-0.010
19604800000.000	-0.007
19605800000.000	-0.005
19606800000.000	-0.006
19607800000.000	-0.009
19608800000.000	-0.008
19609800000.000	-0.008
19610800000.000	-0.008
19611800000.000	-0.012
19612800000.000	-0.013
19613800000.000	-0.012
19614800000.000	-0.009
19615800000.000	-0.010
19616800000.000	-0.014
19617800000.000	-0.012
19618800000.000	-0.016
19619800000.000	-0.018
19620800000.000	-0.022
19621800000.000	-0.020
19622800000.000	-0.028
19623800000.000	-0.036
19624800000.000	-0.048
19625800000.000	-0.050
19626800000.000	-0.056
19627800000.000	-0.052
19628800000.000	-0.062
19629800000.000	-0.071
19630800000.000	-0.084
19631800000.000	-0.087
19632800000.000	-0.087
19633800000.000	-0.089
19634800000.000	-0.101
19635800000.000	-0.110
19636800000.000	-0.119
19637800000.000	-0.102
19638800000.000	-0.105
19639800000.000	-0.104
19640800000.000	-0.093
19641800000.000	-0.093
19642800000.000	-0.085
19643800000.000	-0.076
19644800000.000	-0.066
19645800000.000	-0.058
19646800000.000	-0.051
19647800000.000	-0.053
19648800000.000	-0.047
19649800000.000	-0.044
19650800000.000	-0.038
19651800000.000	-0.037
19652800000.000	-0.024
19653800000.000	-0.028
19654800000.000	-0.024
19655800000.000	-0.021
19656800000.000	-0.015
19657800000.000	-0.017
19658800000.000	-0.015
19659800000.000	-0.011
19660800000.000	-0.011
19661800000.000	-0.009
19662800000.000	-0.006
19663800000.000	-0.007
19664800000.000	-0.008
19665800000.000	-0.013
19666800000.000	-0.012
19667800000.000	-0.008
19668800000.000	-0.007
19669800000.000	-0.006
19670800000.000	-0.006
19671800000.000	-0.003
19672800000.000	-0.002
19673800000.000	-0.002
19674800000.000	-0.007
19675800000.000	-0.005
19676800000.000	-0.000
19677800000.000	-0.001
19678800000.000	-0.001
19679800000.000	-0.001
19680800000.000	-0.001
19681800000.000	-0.003
19682800000.000	-0.003
19683800000.000	-0.003
19684800000.000	-0.001
19685800000.000	-0.001
19686800000.000	0.001
19687800000.000	0.002
19688800000.000	-0.003
19689800000.000	0.001
19690800000.000	0.003
19691800000.000	0.001
19692800000.000	0.002
19693800000.000	-0.000
19694800000.000	-0.000
19695800000.000	0.001
19696800000.000	0.005
19697800000.000	0.001
19698800000.000	0.004
19699800000.000	0.005
19590900000.000	-0.001
19591900000.000	-0.001
19592900000.000	-0.002
19593900000.000	-0.002
19594900000.000	0.000
19595900000.000	-0.007
19596900000.000	-0.001
19597900000.000	-0.003
19598900000.000	-0.003
19599900000.000	-0.004
19600900000.000	-0.003
19601900000.000	-0.004
19602900000.000	-0.004
19603900000.000	-0.003
19604900000.000	-0.005
19605900000.000	-0.004
19606900000.000	-0.002
19607900000.000	-0.005
19608900000.000	-0.007
19609900000.000	-0.011
19610900000.000	-0.008
19611900000.000	-0.009
19612900000.000	-0.009
19613900000.000	-0.008
19614900000.000	-0.009
19615900000.000	-0.009
19616900000.000	-0.014
19617900000.000	-0.014
19618900000.000	-0.018
19619900000.000	-0.020
19620900000.000	-0.023
19621900000.000	-0.023
19622900000.000	-0.029
19623900000.000	-0.034
19624900000.000	-0.045
19625900000.000	-0.053
19626900000.000	-0.052
19627900000.000	-0.058
19628900000.000	-0.066
19629900000.000	-0.069
19630900000.000	-0.077
19631900000.000	-0.091
19632900000.000	-0.090
19633900000.000	-0.096
19634900000.000	-0.104
19635900000.000	-0.106
19636900000.000	-0.107
19637900000.000	-0.104
19638900000.000	-0.101
19639900000.000	-0.104
19640900000.000	-0.097
19641900000.000	-0.095
19642900000.000	-0.086
19643900000.000	-0.080
19644900000.000	-0.071
19645900000.000	-0.062
19646900000.000	-0.052
19647900000.000	-0.045
19648900000.000	-0.041
19649900000.000	-0.037
19650900000.000	-0.034
19651900000.000	-0.036
19652900000.000	-0.026
19653900000.000	-0.024
19654900000.000	-0.022
19655900000.000	-0.022
19656900000.000	-0.020
19657900000.000	-0.018
19658900000.000	-0.014
19659900000.000	-0.013
19660900000.000	-0.011
19661900000.000	-0.014
19662900000.000	-0.015
19663900000.000	-0.009
19664900000.000	-0.008
19665900000.000	-0.006
19666900000.000	-0.010
19667900000.000	-0.008
19668900000.000	-0.006
19669900000.000	-0.003
19670900000.000	-0.003
19671900000.000	-0.005
19672900000.000	-0.005
19673900000.000	-0.004
