# Title: Dye Laser Frequency Scan w/ MW Blink
# Note:	Dye laser frequency scan to find the ionization rate at Attn = 33 dB.
# Type:	Frequency
# Hittite Freq:	18510.1 MHz
# Ref Freq:	18400.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	33 dB
# Delay:	1000 ns
# MW Off:	 100 to 400 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	b	s	r
411	-223.72	5.97627E-6	0.12056	0.119705	
412	-224.42	5.97627E-6	0.123914	0.140455	
413	-225.12	5.97627E-6	0.121678	0.134009	
414	-225.62	5.97627E-6	0.119902	0.113819	
415	-226.32	5.97627E-6	0.118554	0.128321	
416	-227.02	5.97627E-6	0.122632	0.128255	
417	-227.92	5.97627E-6	0.121152	0.135818	
418	-228.42	5.97627E-6	0.126413	0.112438	
419	-228.92	5.97627E-6	0.128353	0.130129	
420	-229.62	5.97627E-6	0.12467	0.121086	
421	-230.12	5.97627E-6	0.127268	0.144499	
422	-230.92	5.97627E-6	0.129669	0.123717	
423	-231.62	5.97627E-6	0.127926	0.139337	
424	-232.42	5.97627E-6	0.147459	0.145157	
425	-233.12	5.97627E-6	0.13276	0.149531	
426	-233.72	5.97627E-6	0.141474	0.14371	
427	-234.52	5.97627E-6	0.133746	0.135917	
428	-235.12	5.97627E-6	0.143053	0.142066	
429	-235.82	5.97627E-6	0.137791	0.140488	
430	-236.72	5.97627E-6	0.142165	0.122533	
431	-237.12	5.97627E-6	0.136114	0.14473	
432	-237.72	5.97627E-6	0.135226	0.136081	
433	-238.22	5.97627E-6	0.137002	0.124966	
434	-238.82	5.97627E-6	0.143447	0.145585	
435	-239.62	5.97627E-6	0.127466	0.13983	
436	-240.32	5.97627E-6	0.134305	0.132694	
437	-240.82	5.97627E-6	0.134536	0.140751	
438	-241.32	5.97627E-6	0.139402	0.128945	
439	-241.82	5.97627E-6	0.133154	0.119146	
440	-242.72	5.97627E-6	0.133319	0.137035	
441	-243.12	5.97627E-6	0.130261	0.135489	
442	-243.72	5.97627E-6	0.136377	0.127531	
443	-244.22	5.97627E-6	0.13128	0.140225	
444	-245.22	5.97627E-6	0.137035	0.129176	
445	-245.82	5.97627E-6	0.134799	0.148906	
446	-246.52	5.97627E-6	0.133286	0.122533	
447	-247.22	5.97627E-6	0.123059	0.143776	
448	-248.02	5.97627E-6	0.144861	0.129702	
449	-248.82	5.97627E-6	0.129735	0.130557	
450	-249.52	5.97627E-6	0.131675	0.128518	
451	-250.42	5.97627E-6	0.147031	0.12592	
452	-251.22	5.97627E-6	0.13937	0.135687	
453	-252.12	5.97627E-6	0.149925	0.130162	
454	-253.12	5.97627E-6	0.138416	0.126808	
455	-254.32	5.97627E-6	0.141507	0.127827	
456	-254.92	5.97627E-6	0.124802	0.138515	
457	-255.82	5.97627E-6	0.136969	0.139106	
458	-256.72	5.97627E-6	0.132201	0.144697	
459	-257.92	5.97627E-6	0.131313	0.135719	
460	-258.62	5.97627E-6	0.150747	0.150682	
461	-259.82	5.97627E-6	0.139731	0.143842	
462	-260.42	5.97627E-6	0.135489	0.135391	
463	-261.22	5.97627E-6	0.12717	0.128715	
464	-261.82	5.97627E-6	0.122434	0.12763	
465	-262.22	5.97627E-6	0.142757	0.116877	
466	-263.12	5.97627E-6	0.129176	0.133319	
467	-264.12	5.97627E-6	0.121579	0.127071	
468	-264.92	5.97627E-6	0.139929	0.12467	
469	-265.22	5.97627E-6	0.122204	0.12352	
470	-266.02	5.97627E-6	0.136509	0.12809	
471	-266.62	5.97627E-6	0.135621	0.118455	
472	-267.22	5.97627E-6	0.133615	0.128978	
473	-268.02	5.97627E-6	0.129307	0.126249	
474	-268.92	5.97627E-6	0.130984	0.131181	
475	-269.62	5.97627E-6	0.137331	0.134273	
476	-270.12	5.97627E-6	0.141869	0.120264	
477	-270.82	5.97627E-6	0.117798	0.11349	
478	-271.72	5.97627E-6	0.129998	0.127992	
479	-272.22	5.97627E-6	0.129669	0.120823	
480	-273.02	5.97627E-6	0.122303	0.129208	
