# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365897 GHz, +1st Resonance.
# PM at 2.0 (32 dB)
# 0 mV static
i	d	s	sb	n	nb
4447.000	79437.000	0.124	-0.022	-0.311	0.157
4446.000	79447.000	0.104	-0.022	-0.311	0.157
4445.000	79457.000	0.116	-0.022	-0.311	0.157
4444.000	79467.000	0.134	-0.022	-0.311	0.157
4443.000	79477.000	0.131	-0.022	-0.311	0.157
4442.000	79487.000	0.115	-0.022	-0.311	0.157
4441.000	79497.000	0.098	-0.022	-0.311	0.157
4440.000	79507.000	0.126	-0.022	-0.311	0.157
4439.000	79517.000	0.128	-0.022	-0.311	0.157
4438.000	79527.000	0.121	-0.022	-0.311	0.157
4437.000	79537.000	0.121	-0.022	-0.311	0.157
4436.000	79547.000	0.105	-0.022	-0.311	0.157
4435.000	79557.000	0.128	-0.022	-0.311	0.157
4434.000	79567.000	0.107	-0.022	-0.311	0.157
4433.000	79577.000	0.107	-0.022	-0.311	0.157
4432.000	79587.000	0.144	-0.022	-0.311	0.157
4431.000	79597.000	0.120	-0.022	-0.311	0.157
4430.000	79607.000	0.108	-0.022	-0.311	0.157
4429.000	79617.000	0.109	-0.022	-0.311	0.157
4428.000	79627.000	0.088	-0.022	-0.311	0.157
4427.000	79637.000	0.101	-0.022	-0.311	0.157
4426.000	79647.000	0.102	-0.022	-0.311	0.157
4425.000	79657.000	0.105	-0.022	-0.311	0.157
4424.000	79667.000	0.108	-0.022	-0.311	0.157
4423.000	79677.000	0.119	-0.022	-0.311	0.157
4422.000	79687.000	0.092	-0.022	-0.311	0.157
4421.000	79697.000	0.089	-0.022	-0.311	0.157
4420.000	79707.000	0.097	-0.022	-0.311	0.157
4419.000	79717.000	0.116	-0.022	-0.311	0.157
4418.000	79727.000	0.100	-0.022	-0.311	0.157
4417.000	79737.000	0.109	-0.022	-0.311	0.157
4416.000	79747.000	0.129	-0.022	-0.311	0.157
4415.000	79757.000	0.098	-0.022	-0.311	0.157
4414.000	79767.000	0.125	-0.022	-0.311	0.157
4413.000	79777.000	0.118	-0.022	-0.311	0.157
4412.000	79787.000	0.096	-0.022	-0.311	0.157
4411.000	79797.000	0.092	-0.022	-0.311	0.157
4410.000	79807.000	0.098	-0.022	-0.311	0.157
4409.000	79817.000	0.084	-0.022	-0.311	0.157
4408.000	79827.000	0.111	-0.022	-0.311	0.157
4407.000	79837.000	0.107	-0.022	-0.311	0.157
4406.000	79847.000	0.110	-0.022	-0.311	0.157
4405.000	79857.000	0.093	-0.022	-0.311	0.157
4404.000	79867.000	0.102	-0.022	-0.311	0.157
4403.000	79877.000	0.091	-0.022	-0.311	0.157
4402.000	79887.000	0.099	-0.022	-0.311	0.157
4401.000	79897.000	0.096	-0.022	-0.311	0.157
4400.000	79907.000	0.093	-0.022	-0.311	0.157
4399.000	79917.000	0.103	-0.022	-0.311	0.157
4398.000	79927.000	0.102	-0.022	-0.311	0.157
4397.000	79937.000	0.099	-0.022	-0.311	0.157
4396.000	79947.000	0.113	-0.022	-0.311	0.157
4395.000	79957.000	0.106	-0.022	-0.311	0.157
4394.000	79967.000	0.105	-0.022	-0.311	0.157
4393.000	79977.000	0.111	-0.022	-0.311	0.157
4392.000	79987.000	0.100	-0.022	-0.311	0.157
4391.000	79997.000	0.098	-0.022	-0.311	0.157
4390.000	80007.000	0.089	-0.022	-0.311	0.157
4389.000	80017.000	0.097	-0.022	-0.311	0.157
4388.000	80027.000	0.127	-0.022	-0.311	0.157
4387.000	80037.000	0.092	-0.022	-0.311	0.157
4386.000	80047.000	0.094	-0.022	-0.311	0.157
4385.000	80057.000	0.114	-0.022	-0.311	0.157
4384.000	80067.000	0.126	-0.022	-0.311	0.157
4383.000	80077.000	0.131	-0.022	-0.311	0.157
4382.000	80087.000	0.115	-0.022	-0.311	0.157
4381.000	80097.000	0.108	-0.022	-0.311	0.157
4380.000	80107.000	0.092	-0.022	-0.311	0.157
4379.000	80117.000	0.094	-0.022	-0.311	0.157
4378.000	80127.000	0.095	-0.022	-0.311	0.157
4377.000	80137.000	0.084	-0.022	-0.311	0.157
4376.000	80147.000	0.083	-0.022	-0.311	0.157
4375.000	80157.000	0.080	-0.022	-0.311	0.157
4374.000	80167.000	0.078	-0.022	-0.311	0.157
4373.000	80177.000	0.092	-0.022	-0.311	0.157
4372.000	80187.000	0.109	-0.022	-0.311	0.157
4371.000	80197.000	0.100	-0.022	-0.311	0.157
4370.000	80207.000	0.112	-0.022	-0.311	0.157
4369.000	80217.000	0.095	-0.022	-0.311	0.157
4368.000	80227.000	0.099	-0.022	-0.311	0.157
4367.000	80237.000	0.087	-0.022	-0.311	0.157
4366.000	80247.000	0.085	-0.022	-0.311	0.157
4365.000	80257.000	0.071	-0.022	-0.311	0.157
4364.000	80267.000	0.105	-0.022	-0.311	0.157
4363.000	80277.000	0.110	-0.022	-0.311	0.157
4362.000	80287.000	0.138	-0.022	-0.311	0.157
4361.000	80297.000	0.115	-0.022	-0.311	0.157
4360.000	80307.000	0.093	-0.022	-0.311	0.157
4359.000	80317.000	0.105	-0.022	-0.311	0.157
4358.000	80327.000	0.093	-0.022	-0.311	0.157
4357.000	80337.000	0.081	-0.022	-0.311	0.157
4356.000	80347.000	0.093	-0.022	-0.311	0.157
4355.000	80357.000	0.067	-0.022	-0.311	0.157
4354.000	80367.000	0.072	-0.022	-0.311	0.157
4353.000	80377.000	0.080	-0.022	-0.311	0.157
4352.000	80387.000	0.090	-0.022	-0.311	0.157
4351.000	80397.000	0.124	-0.022	-0.311	0.157
4350.000	80407.000	0.127	-0.022	-0.311	0.157
4349.000	80417.000	0.108	-0.022	-0.311	0.157
4348.000	80427.000	0.088	-0.022	-0.311	0.157
4347.000	80437.000	0.114	-0.022	-0.311	0.157
4346.000	80447.000	0.123	-0.022	-0.311	0.157
4345.000	80457.000	0.107	-0.022	-0.311	0.157
4344.000	80467.000	0.098	-0.022	-0.311	0.157
4343.000	80477.000	0.107	-0.022	-0.311	0.157
4342.000	80487.000	0.114	-0.022	-0.311	0.157
4341.000	80497.000	0.106	-0.022	-0.311	0.157
4340.000	80507.000	0.094	-0.022	-0.311	0.157
4339.000	80517.000	0.108	-0.022	-0.311	0.157
4338.000	80527.000	0.116	-0.022	-0.311	0.157
4337.000	80537.000	0.116	-0.022	-0.311	0.157
4336.000	80547.000	0.108	-0.022	-0.311	0.157
4335.000	80557.000	0.091	-0.022	-0.311	0.157
4334.000	80567.000	0.087	-0.022	-0.311	0.157
4333.000	80577.000	0.112	-0.022	-0.311	0.157
4332.000	80587.000	0.107	-0.022	-0.311	0.157
4331.000	80597.000	0.118	-0.022	-0.311	0.157
4330.000	80607.000	0.101	-0.022	-0.311	0.157
4329.000	80617.000	0.096	-0.022	-0.311	0.157
4328.000	80627.000	0.118	-0.022	-0.311	0.157
4327.000	80637.000	0.099	-0.022	-0.311	0.157
4326.000	80647.000	0.101	-0.022	-0.311	0.157
4325.000	80657.000	0.098	-0.022	-0.311	0.157
4324.000	80667.000	0.096	-0.022	-0.311	0.157
4323.000	80677.000	0.065	-0.022	-0.311	0.157
4322.000	80687.000	0.070	-0.022	-0.311	0.157
