# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# 0 mV static
i	d	s	sb	n	nb
5942.000	72456.000	0.204	-0.009	-0.339	0.164
5941.000	72466.000	0.183	-0.009	-0.339	0.164
5940.000	72476.000	0.236	-0.009	-0.339	0.164
5939.000	72486.000	0.221	-0.009	-0.339	0.164
5938.000	72496.000	0.213	-0.009	-0.339	0.164
5937.000	72506.000	0.233	-0.009	-0.339	0.164
5936.000	72516.000	0.223	-0.009	-0.339	0.164
5935.000	72526.000	0.257	-0.009	-0.339	0.164
5934.000	72536.000	0.224	-0.009	-0.339	0.164
5933.000	72546.000	0.208	-0.009	-0.339	0.164
5932.000	72556.000	0.233	-0.009	-0.339	0.164
5931.000	72566.000	0.203	-0.009	-0.339	0.164
5930.000	72576.000	0.228	-0.009	-0.339	0.164
5929.000	72586.000	0.193	-0.009	-0.339	0.164
5928.000	72596.000	0.204	-0.009	-0.339	0.164
5927.000	72606.000	0.203	-0.009	-0.339	0.164
5926.000	72616.000	0.224	-0.009	-0.339	0.164
5925.000	72626.000	0.220	-0.009	-0.339	0.164
5924.000	72636.000	0.234	-0.009	-0.339	0.164
5923.000	72646.000	0.222	-0.009	-0.339	0.164
5922.000	72656.000	0.250	-0.009	-0.339	0.164
5921.000	72666.000	0.179	-0.009	-0.339	0.164
5920.000	72676.000	0.173	-0.009	-0.339	0.164
5919.000	72686.000	0.186	-0.009	-0.339	0.164
5918.000	72696.000	0.208	-0.009	-0.339	0.164
5917.000	72706.000	0.201	-0.009	-0.339	0.164
5916.000	72716.000	0.203	-0.009	-0.339	0.164
5915.000	72726.000	0.206	-0.009	-0.339	0.164
5914.000	72736.000	0.207	-0.009	-0.339	0.164
5913.000	72746.000	0.207	-0.009	-0.339	0.164
5912.000	72756.000	0.200	-0.009	-0.339	0.164
5911.000	72766.000	0.221	-0.009	-0.339	0.164
5910.000	72776.000	0.226	-0.009	-0.339	0.164
5909.000	72786.000	0.197	-0.009	-0.339	0.164
5908.000	72796.000	0.243	-0.009	-0.339	0.164
5907.000	72806.000	0.216	-0.009	-0.339	0.164
5906.000	72816.000	0.182	-0.009	-0.339	0.164
5905.000	72826.000	0.168	-0.009	-0.339	0.164
5904.000	72836.000	0.176	-0.009	-0.339	0.164
5903.000	72846.000	0.205	-0.009	-0.339	0.164
5902.000	72856.000	0.186	-0.009	-0.339	0.164
5901.000	72866.000	0.195	-0.009	-0.339	0.164
5900.000	72876.000	0.251	-0.009	-0.339	0.164
5899.000	72886.000	0.232	-0.009	-0.339	0.164
5898.000	72896.000	0.210	-0.009	-0.339	0.164
5897.000	72906.000	0.199	-0.009	-0.339	0.164
5896.000	72916.000	0.202	-0.009	-0.339	0.164
5895.000	72926.000	0.200	-0.009	-0.339	0.164
