# Delay scan
# MW at 19 dB
# Laser at 365854 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# No Static
i	d	s	b
8939.000	58426.000	0.101	-0.036
8938.000	58436.000	0.109	-0.036
8937.000	58446.000	0.124	-0.036
8936.000	58456.000	0.124	-0.036
8935.000	58466.000	0.137	-0.036
8934.000	58476.000	0.142	-0.036
8933.000	58486.000	0.115	-0.036
8932.000	58496.000	0.121	-0.036
8931.000	58506.000	0.129	-0.036
8930.000	58516.000	0.140	-0.036
8929.000	58526.000	0.136	-0.036
8928.000	58536.000	0.152	-0.036
8927.000	58546.000	0.122	-0.036
8926.000	58556.000	0.122	-0.036
8925.000	58566.000	0.103	-0.036
8924.000	58576.000	0.146	-0.036
8923.000	58586.000	0.146	-0.036
8922.000	58596.000	0.123	-0.036
8921.000	58606.000	0.173	-0.036
8920.000	58616.000	0.143	-0.036
8919.000	58626.000	0.175	-0.036
8918.000	58636.000	0.190	-0.036
8917.000	58646.000	0.137	-0.036
8916.000	58656.000	0.120	-0.036
8915.000	58666.000	0.101	-0.036
8914.000	58676.000	0.140	-0.036
8913.000	58686.000	0.107	-0.036
8912.000	58696.000	0.123	-0.036
8911.000	58706.000	0.132	-0.036
8910.000	58716.000	0.163	-0.036
8909.000	58726.000	0.131	-0.036
8908.000	58736.000	0.129	-0.036
8907.000	58746.000	0.114	-0.036
8906.000	58756.000	0.103	-0.036
8905.000	58766.000	0.140	-0.036
8904.000	58776.000	0.149	-0.036
8903.000	58786.000	0.130	-0.036
8902.000	58796.000	0.158	-0.036
8901.000	58806.000	0.159	-0.036
8900.000	58816.000	0.159	-0.036
8899.000	58826.000	0.209	-0.036
8898.000	58836.000	0.148	-0.036
8897.000	58846.000	0.124	-0.036
8896.000	58856.000	0.137	-0.036
8895.000	58866.000	0.114	-0.036
8894.000	58876.000	0.098	-0.036
8893.000	58886.000	0.111	-0.036
8892.000	58896.000	0.114	-0.036
8891.000	58906.000	0.136	-0.036
8890.000	58916.000	0.108	-0.036
8889.000	58926.000	0.116	-0.036
8888.000	58936.000	0.139	-0.036
8887.000	58946.000	0.158	-0.036
8886.000	58956.000	0.138	-0.036
8885.000	58966.000	0.147	-0.036
8884.000	58976.000	0.138	-0.036
8883.000	58986.000	0.150	-0.036
8882.000	58996.000	0.127	-0.036
8881.000	59006.000	0.136	-0.036
8880.000	59016.000	0.113	-0.036
8879.000	59026.000	0.126	-0.036
8878.000	59036.000	0.100	-0.036
8877.000	59046.000	0.093	-0.036
8876.000	59056.000	0.098	-0.036
8875.000	59066.000	0.099	-0.036
8874.000	59076.000	0.104	-0.036
8873.000	59086.000	0.150	-0.036
8872.000	59096.000	0.119	-0.036
8871.000	59106.000	0.120	-0.036
8870.000	59116.000	0.140	-0.036
8869.000	59126.000	0.127	-0.036
8868.000	59136.000	0.163	-0.036
8867.000	59146.000	0.107	-0.036
8866.000	59156.000	0.140	-0.036
8865.000	59166.000	0.106	-0.036
8864.000	59176.000	0.129	-0.036
8863.000	59186.000	0.147	-0.036
8862.000	59196.000	0.107	-0.036
8861.000	59206.000	0.152	-0.036
8860.000	59216.000	0.126	-0.036
8859.000	59226.000	0.127	-0.036
8858.000	59236.000	0.125	-0.036
8857.000	59246.000	0.094	-0.036
8856.000	59256.000	0.166	-0.036
8855.000	59266.000	0.138	-0.036
8854.000	59276.000	0.158	-0.036
8853.000	59286.000	0.115	-0.036
8852.000	59296.000	0.105	-0.036
8851.000	59306.000	0.170	-0.036
8850.000	59316.000	0.126	-0.036
8849.000	59326.000	0.109	-0.036
8848.000	59336.000	0.136	-0.036
8847.000	59346.000	0.159	-0.036
