# Delay scan
# MW at 19 dB, 18.5140 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# 0 mV static
# Norm:	-0.321996
# NB:	
i	d	s	b
5778.000	74096.000	0.162	-0.031
5777.000	74106.000	0.142	-0.031
5776.000	74116.000	0.164	-0.031
5775.000	74126.000	0.158	-0.031
5774.000	74136.000	0.157	-0.031
5773.000	74146.000	0.150	-0.031
5772.000	74156.000	0.148	-0.031
5771.000	74166.000	0.155	-0.031
5770.000	74176.000	0.164	-0.031
5769.000	74186.000	0.142	-0.031
5768.000	74196.000	0.123	-0.031
5767.000	74206.000	0.129	-0.031
5766.000	74216.000	0.156	-0.031
5765.000	74226.000	0.148	-0.031
5764.000	74236.000	0.141	-0.031
5763.000	74246.000	0.185	-0.031
5762.000	74256.000	0.203	-0.031
5761.000	74266.000	0.211	-0.031
5760.000	74276.000	0.192	-0.031
5759.000	74286.000	0.189	-0.031
5758.000	74296.000	0.183	-0.031
5757.000	74306.000	0.190	-0.031
5756.000	74316.000	0.168	-0.031
5755.000	74326.000	0.136	-0.031
5754.000	74336.000	0.142	-0.031
5753.000	74346.000	0.164	-0.031
5752.000	74356.000	0.152	-0.031
5751.000	74366.000	0.163	-0.031
5750.000	74376.000	0.168	-0.031
5749.000	74386.000	0.147	-0.031
5748.000	74396.000	0.128	-0.031
5747.000	74406.000	0.151	-0.031
5746.000	74416.000	0.155	-0.031
5745.000	74426.000	0.176	-0.031
5744.000	74436.000	0.172	-0.031
5743.000	74446.000	0.173	-0.031
5742.000	74456.000	0.150	-0.031
5741.000	74466.000	0.132	-0.031
5740.000	74476.000	0.142	-0.031
5739.000	74486.000	0.140	-0.031
5738.000	74496.000	0.161	-0.031
5737.000	74506.000	0.172	-0.031
5736.000	74516.000	0.153	-0.031
5735.000	74526.000	0.138	-0.031
5734.000	74536.000	0.140	-0.031
5733.000	74546.000	0.142	-0.031
5732.000	74556.000	0.155	-0.031
5731.000	74566.000	0.183	-0.031
5730.000	74576.000	0.182	-0.031
5729.000	74586.000	0.176	-0.031
5728.000	74596.000	0.135	-0.031
5727.000	74606.000	0.140	-0.031
5726.000	74616.000	0.124	-0.031
5725.000	74626.000	0.155	-0.031
5724.000	74636.000	0.171	-0.031
5723.000	74646.000	0.176	-0.031
5722.000	74656.000	0.184	-0.031
5721.000	74666.000	0.174	-0.031
5720.000	74676.000	0.185	-0.031
5719.000	74686.000	0.183	-0.031
5718.000	74696.000	0.169	-0.031
5717.000	74706.000	0.164	-0.031
5716.000	74716.000	0.157	-0.031
5715.000	74726.000	0.194	-0.031
5714.000	74736.000	0.180	-0.031
5713.000	74746.000	0.145	-0.031
5712.000	74756.000	0.132	-0.031
5711.000	74766.000	0.150	-0.031
5710.000	74776.000	0.150	-0.031
5709.000	74786.000	0.168	-0.031
5708.000	74796.000	0.170	-0.031
5707.000	74806.000	0.156	-0.031
5706.000	74816.000	0.163	-0.031
5705.000	74826.000	0.163	-0.031
5704.000	74836.000	0.180	-0.031
5703.000	74846.000	0.156	-0.031
5702.000	74856.000	0.169	-0.031
5701.000	74866.000	0.156	-0.031
5700.000	74876.000	0.150	-0.031
5699.000	74886.000	0.138	-0.031
5698.000	74896.000	0.177	-0.031
5697.000	74906.000	0.144	-0.031
5696.000	74916.000	0.163	-0.031
5695.000	74926.000	0.179	-0.031
5694.000	74936.000	0.163	-0.031
5693.000	74946.000	0.167	-0.031
5692.000	74956.000	0.156	-0.031
5691.000	74966.000	0.148	-0.031
5690.000	74976.000	0.172	-0.031
5689.000	74986.000	0.186	-0.031
5688.000	74996.000	0.156	-0.031
5687.000	75006.000	0.148	-0.031
5686.000	75016.000	0.156	-0.031
5685.000	75026.000	0.140	-0.031
5684.000	75036.000	0.148	-0.031
5683.000	75046.000	0.169	-0.031
5682.000	75056.000	0.193	-0.031
5681.000	75066.000	0.165	-0.031
5680.000	75076.000	0.139	-0.031
5679.000	75086.000	0.128	-0.031
5678.000	75096.000	0.158	-0.031
5677.000	75106.000	0.148	-0.031
5676.000	75116.000	0.130	-0.031
5675.000	75126.000	0.129	-0.031
5674.000	75136.000	0.150	-0.031
5673.000	75146.000	0.166	-0.031
5672.000	75156.000	0.192	-0.031
5671.000	75166.000	0.183	-0.031
5670.000	75176.000	0.136	-0.031
5669.000	75186.000	0.130	-0.031
