# Title: MWBlink QuickScan
# Note:	Scan of 27f in +40 V (6.6 V/cm) and no PM, with MW ON (s) at +18.6 dBm and OFF (r) at -20 dBm on Hittite.
# Type:	DL-Pro Frequency Scan at 1000 samples/s
# Hittite Freq:	18510.5 MHz
# Hittite: Power	18.6 dBm
# Laser Freq:	361351.8 GHz (Start, scans Red-ward)
# Target:	27f in 40 V
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0010 V
# Static:	+40 V
# Static Off:	NaN
b	r	s
0.004	-0.113	-0.064
0.006	-0.130	-0.055
0.013	-0.108	-0.073
0.018	-0.097	-0.069
0.011	-0.112	-0.048
0.020	-0.083	-0.061
0.019	-0.124	-0.076
0.013	-0.154	-0.066
0.009	-0.134	-0.079
0.006	-0.122	-0.065
0.015	-0.126	-0.069
-0.003	-0.118	-0.070
0.010	-0.135	-0.056
0.014	-0.135	-0.079
0.011	-0.134	-0.075
0.011	-0.113	-0.069
0.012	-0.127	-0.067
0.001	-0.120	-0.082
0.010	-0.137	-0.052
0.009	-0.125	-0.073
0.012	-0.102	-0.063
0.009	-0.122	-0.073
0.015	-0.105	-0.050
0.015	-0.093	-0.088
-0.005	-0.127	-0.064
0.004	-0.127	-0.059
0.020	-0.138	-0.082
0.015	-0.142	-0.088
0.007	-0.106	-0.069
0.006	-0.120	-0.052
0.009	-0.092	-0.073
0.007	-0.108	-0.062
0.010	-0.133	-0.053
0.003	-0.116	-0.053
0.010	-0.141	-0.080
0.009	-0.147	-0.080
0.010	-0.127	-0.086
0.016	-0.128	-0.087
0.013	-0.129	-0.080
0.017	-0.154	-0.078
0.006	-0.124	-0.082
0.002	-0.124	-0.056
0.005	-0.096	-0.047
0.011	-0.105	-0.055
0.004	-0.133	-0.070
0.013	-0.132	-0.058
-0.001	-0.167	-0.050
0.007	-0.171	-0.037
0.015	-0.134	-0.051
0.010	-0.150	-0.061
0.006	-0.124	-0.074
0.011	-0.151	-0.061
0.011	-0.140	-0.060
0.017	-0.170	-0.049
0.009	-0.157	-0.045
0.009	-0.144	-0.054
0.013	-0.159	-0.053
0.011	-0.165	-0.058
0.012	-0.126	-0.045
0.009	-0.142	-0.051
0.010	-0.163	-0.050
-0.008	-0.168	-0.050
0.007	-0.180	-0.036
0.012	-0.184	-0.059
0.011	-0.164	-0.089
0.019	-0.157	-0.079
0.009	-0.162	-0.081
0.006	-0.174	-0.055
0.017	-0.153	-0.038
0.012	-0.155	-0.057
0.021	-0.152	-0.079
0.014	-0.200	-0.061
0.014	-0.155	-0.083
0.007	-0.188	-0.082
0.004	-0.162	-0.081
0.005	-0.160	-0.064
0.005	-0.191	-0.075
0.007	-0.134	-0.044
0.005	-0.126	-0.025
0.004	-0.150	-0.036
0.014	-0.182	-0.032
0.013	-0.183	-0.063
0.014	-0.195	-0.059
0.005	-0.165	-0.098
0.010	-0.189	-0.073
0.007	-0.163	-0.063
0.008	-0.165	-0.059
0.013	-0.171	-0.047
0.015	-0.159	-0.052
0.018	-0.223	-0.047
0.007	-0.181	-0.069
0.010	-0.186	-0.074
0.004	-0.236	-0.056
0.011	-0.231	-0.054
-0.000	-0.195	-0.077
0.013	-0.193	-0.074
0.002	-0.162	-0.056
0.009	-0.202	-0.034
0.017	-0.213	-0.032
0.013	-0.227	-0.031
0.006	-0.225	-0.062
0.012	-0.210	-0.041
0.012	-0.156	-0.062
0.012	-0.145	-0.069
0.011	-0.215	-0.046
0.009	-0.222	-0.029
0.019	-0.213	-0.048
0.006	-0.192	-0.079
0.016	-0.194	-0.066
0.006	-0.181	-0.047
0.007	-0.244	-0.057
-0.002	-0.212	-0.049
0.009	-0.252	-0.058
0.009	-0.241	-0.082
0.006	-0.217	-0.073
0.017	-0.272	-0.061
0.009	-0.284	-0.059
0.018	-0.223	-0.053
0.016	-0.201	-0.056
0.014	-0.214	-0.045
0.015	-0.215	-0.048
0.012	-0.250	-0.057
0.007	-0.272	-0.060
0.008	-0.258	-0.070
0.002	-0.270	-0.066
0.001	-0.236	-0.065
0.009	-0.248	-0.073
0.010	-0.226	-0.067
0.009	-0.203	-0.062
-0.001	-0.236	-0.071
0.007	-0.244	-0.064
0.006	-0.240	-0.044
0.016	-0.282	-0.055
0.003	-0.233	-0.046
0.005	-0.239	-0.047
0.005	-0.282	-0.043
0.012	-0.264	-0.042
0.014	-0.244	-0.033
0.009	-0.256	-0.060
0.012	-0.267	-0.080
0.000	-0.237	-0.051
0.003	-0.198	-0.029
0.002	-0.226	-0.037
0.013	-0.250	-0.043
0.001	-0.307	-0.048
0.009	-0.221	-0.070
-0.003	-0.277	-0.057
0.000	-0.271	-0.043
0.013	-0.236	-0.056
0.007	-0.261	-0.086
0.004	-0.296	-0.062
0.009	-0.285	-0.043
0.014	-0.249	-0.056
0.013	-0.303	-0.047
0.014	-0.298	-0.043
0.014	-0.283	-0.050
0.019	-0.278	-0.033
0.016	-0.237	-0.062
0.015	-0.235	-0.085
0.009	-0.211	-0.055
