# Title: Dye Laser Frequency Scan, MW Off, +50 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +50 V static, MW Off. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	50 V
# Static Off:	NaN
i	f	n	nb	s	sb
375.000	-4515.120	1.000	0.000	0.157	0.040
376.000	-4514.620	1.000	0.000	0.148	0.040
377.000	-4514.220	1.000	0.000	0.135	0.040
378.000	-4514.020	1.000	0.000	0.130	0.040
379.000	-4513.720	1.000	0.000	0.124	0.040
380.000	-4513.420	1.000	0.000	0.129	0.040
381.000	-4512.920	1.000	0.000	0.127	0.040
382.000	-4512.520	1.000	0.000	0.125	0.040
383.000	-4512.020	1.000	0.000	0.123	0.040
384.000	-4511.520	1.000	0.000	0.122	0.040
385.000	-4511.220	1.000	0.000	0.104	0.040
386.000	-4510.820	1.000	0.000	0.130	0.040
387.000	-4510.620	1.000	0.000	0.149	0.040
388.000	-4510.220	1.000	0.000	0.160	0.040
389.000	-4509.820	1.000	0.000	0.159	0.040
390.000	-4509.220	1.000	0.000	0.190	0.040
391.000	-4509.020	1.000	0.000	0.223	0.040
392.000	-4508.420	1.000	0.000	0.225	0.040
393.000	-4508.120	1.000	0.000	0.253	0.040
394.000	-4507.720	1.000	0.000	0.263	0.040
395.000	-4507.420	1.000	0.000	0.240	0.040
396.000	-4507.120	1.000	0.000	0.277	0.040
397.000	-4506.620	1.000	0.000	0.312	0.040
398.000	-4506.220	1.000	0.000	0.280	0.040
399.000	-4505.820	1.000	0.000	0.314	0.040
400.000	-4505.520	1.000	0.000	0.311	0.040
401.000	-4505.120	1.000	0.000	0.342	0.040
402.000	-4504.820	1.000	0.000	0.334	0.040
403.000	-4504.320	1.000	0.000	0.348	0.040
404.000	-4504.020	1.000	0.000	0.356	0.040
405.000	-4503.620	1.000	0.000	0.378	0.040
406.000	-4503.120	1.000	0.000	0.372	0.040
407.000	-4502.720	1.000	0.000	0.370	0.040
408.000	-4502.320	1.000	0.000	0.354	0.040
409.000	-4502.020	1.000	0.000	0.345	0.040
410.000	-4501.820	1.000	0.000	0.369	0.040
411.000	-4501.420	1.000	0.000	0.304	0.040
412.000	-4501.020	1.000	0.000	0.285	0.040
413.000	-4500.520	1.000	0.000	0.284	0.040
414.000	-4500.320	1.000	0.000	0.254	0.040
415.000	-4499.920	1.000	0.000	0.224	0.040
416.000	-4499.520	1.000	0.000	0.188	0.040
417.000	-4499.120	1.000	0.000	0.179	0.040
418.000	-4498.920	1.000	0.000	0.144	0.040
419.000	-4498.520	1.000	0.000	0.125	0.040
420.000	-4498.020	1.000	0.000	0.137	0.040
421.000	-4497.420	1.000	0.000	0.117	0.040
422.000	-4497.120	1.000	0.000	0.099	0.040
423.000	-4496.920	1.000	0.000	0.081	0.040
424.000	-4496.320	1.000	0.000	0.079	0.040
425.000	-4496.020	1.000	0.000	0.066	0.040
426.000	-4495.720	1.000	0.000	0.057	0.040
427.000	-4495.120	1.000	0.000	0.042	0.040
428.000	-4494.720	1.000	0.000	0.042	0.040
429.000	-4494.320	1.000	0.000	0.041	0.040
430.000	-4494.020	1.000	0.000	0.036	0.040
431.000	-4493.520	1.000	0.000	0.047	0.040
432.000	-4493.120	1.000	0.000	0.043	0.040
